Origin,Destination,NumOfLoan,Origin_Long,Origin_Lat,Dest_Long,Dest_Lat,OriginName
US,LA,30,-95.712891,37.09024,102.495496,19.85627,United States 
US,LB,333,-95.712891,37.09024,35.862285,33.854721,United States 
US,LR,192,-95.712891,37.09024,-9.429499,6.428055,United States 
US,MG,118,-95.712891,37.09024,46.869107,-18.766947,United States 
US,ML,235,-95.712891,37.09024,-3.996166,17.570692,United States 
US,MM,55,-95.712891,37.09024,95.956223,21.913965,United States 
US,MN,80,-95.712891,37.09024,103.846656,46.862496,United States 
US,MW,34,-95.712891,37.09024,34.301525,-13.254308,United States 
US,MX,176,-95.712891,37.09024,-102.552784,23.634501,United States 
US,MZ,106,-95.712891,37.09024,35.529562,-18.665695,United States 
US,NG,317,-95.712891,37.09024,8.675277,9.081999,United States 
US,NI,537,-95.712891,37.09024,-85.207229,12.865416,United States 
US,PE,757,-95.712891,37.09024,-75.015152,-9.189967,United States 
US,PH,4709,-95.712891,37.09024,121.774017,12.879721,United States 
US,PK,994,-95.712891,37.09024,69.345116,30.375321,United States 
US,PS,241,-95.712891,37.09024,35.233154,31.952162,United States 
US,PY,460,-95.712891,37.09024,-58.443832,-23.442503,United States 
US,RW,267,-95.712891,37.09024,29.873888,-1.940278,United States 
US,SL,235,-95.712891,37.09024,-11.779889,8.460555,United States 
US,SN,113,-95.712891,37.09024,-14.452362,14.497401,United States 
US,SV,1431,-95.712891,37.09024,-88.89653,13.794185,United States 
US,TG,177,-95.712891,37.09024,0.824782,8.619543,United States 
US,TJ,699,-95.712891,37.09024,71.276093,38.861034,United States 
US,TL,69,-95.712891,37.09024,125.727539,-8.874217,United States 
US,TR,52,-95.712891,37.09024,35.243322,38.963745,United States 
US,TZ,167,-95.712891,37.09024,34.888822,-6.369028,United States 
US,UA,62,-95.712891,37.09024,31.16558,48.379433,United States 
US,UG,706,-95.712891,37.09024,32.290275,1.373333,United States 
US,US,78,-95.712891,37.09024,-95.712891,37.09024,United States 
US,VN,400,-95.712891,37.09024,108.277199,14.058324,United States 
US,WS,290,-95.712891,37.09024,-172.104629,-13.759029,United States 
US,XK,50,-95.712891,37.09024,20.902977,42.602636,United States 
US,YE,77,-95.712891,37.09024,48.516388,15.552727,United States 
US,ZM,26,-95.712891,37.09024,27.849332,-13.133897,United States 
US,ZW,133,-95.712891,37.09024,29.154857,-19.015438,United States 
